age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
33,858,1,999,0,1.1,93.994,-36.4,4.859,5191,yes
29,235,2,999,0,1.4,94.465,-41.8,4.864,5228.1,no
34,130,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,yes
45,67,3,999,1,-2.9,92.201,-31.4,0.825,5076.2,no
36,148,1,999,2,-1.8,93.369,-34.8,0.654,5008.7,yes
22,47,2,999,0,1.4,93.918,-42.7,4.96,5228.1,no
37,128,2,999,0,1.1,93.994,-36.4,4.857,5191,no
34,511,1,999,0,1.4,94.465,-41.8,4.866,5228.1,no
30,219,3,6,1,-1.1,94.199,-37.5,0.883,4963.6,yes
48,44,1,999,0,1.4,93.444,-36.1,4.962,5228.1,no
42,298,2,999,0,1.4,94.465,-41.8,4.967,5228.1,no
74,156,1,999,1,-2.9,92.201,-31.4,0.861,5076.2,yes
53,304,2,3,1,-2.9,92.963,-40.8,1.268,5076.2,yes
33,62,2,999,0,-1.8,93.876,-40,0.684,5008.7,no
33,900,2,999,2,-1.8,93.075,-47.1,1.365,5099.1,yes
31,161,1,999,0,1.4,93.918,-42.7,4.955,5228.1,no
26,1071,2,999,0,-1.8,92.893,-46.2,1.266,5099.1,yes
36,263,3,999,0,1.1,93.994,-36.4,4.86,5191,no
37,101,2,999,0,1.4,93.444,-36.1,4.964,5228.1,no
36,911,1,999,0,-0.1,93.2,-42,4.12,5195.8,yes
36,58,11,999,0,1.4,93.918,-42.7,4.962,5228.1,no
38,52,13,999,0,1.4,94.465,-41.8,4.967,5228.1,no
34,130,1,999,0,1.4,93.918,-42.7,4.957,5228.1,no
36,46,3,999,0,1.4,93.444,-36.1,4.965,5228.1,no
34,905,1,999,1,-0.1,93.2,-42,4.12,5195.8,no
56,448,5,999,0,1.4,93.918,-42.7,4.963,5228.1,no
41,244,1,999,0,1.4,94.465,-41.8,4.947,5228.1,no
48,65,3,999,0,1.1,93.994,-36.4,4.858,5191,no
28,186,1,999,1,-3.4,92.431,-26.9,0.739,5017.5,yes
29,319,1,5,2,-1.1,94.601,-49.5,0.972,4963.6,yes
39,607,3,999,0,-1.8,92.893,-46.2,1.266,5099.1,yes
40,367,2,3,2,-1.7,94.215,-40.3,0.896,4991.6,yes
48,188,2,999,0,-1.1,94.199,-37.5,0.879,4963.6,yes
50,611,2,999,0,1.4,93.918,-42.7,4.962,5228.1,yes
29,630,1,999,0,1.1,93.994,-36.4,4.857,5191,yes
32,515,3,999,0,1.4,93.444,-36.1,4.966,5228.1,no
47,182,2,999,6,-1.7,94.027,-38.3,0.904,4991.6,no
48,377,5,999,1,-3,92.713,-33,0.718,5023.5,no
37,315,1,999,0,-1.1,94.767,-50.8,1.04,4963.6,yes
36,540,6,999,0,1.4,93.918,-42.7,4.963,5228.1,yes
37,305,1,999,0,1.4,93.918,-42.7,4.955,5228.1,no
32,532,2,999,0,-2.9,92.963,-40.8,1.26,5076.2,yes
57,857,4,999,0,1.4,93.918,-42.7,4.96,5228.1,yes
34,99,3,999,0,1.1,93.994,-36.4,4.857,5191,no
53,13,5,999,0,1.4,94.465,-41.8,4.959,5228.1,no
32,567,2,999,0,-1.8,93.075,-47.1,1.365,5099.1,yes
32,796,4,999,0,1.4,93.444,-36.1,4.966,5228.1,yes
24,348,2,999,0,-1.8,93.075,-47.1,1.41,5099.1,no
33,1183,1,999,0,1.1,93.994,-36.4,4.857,5191,yes
35,387,9,999,0,1.1,93.994,-36.4,4.859,5191,no
34,294,4,10,3,-1.1,94.199,-37.5,0.879,4963.6,yes
66,1394,2,6,1,-1.1,94.199,-37.5,0.881,4963.6,yes
52,423,2,999,0,1.4,94.465,-41.8,4.866,5228.1,no
48,222,4,999,0,-1.7,94.027,-38.3,0.898,4991.6,yes
51,303,2,999,0,1.1,93.994,-36.4,4.857,5191,no
37,548,3,999,0,1.4,94.465,-41.8,4.961,5228.1,no
33,134,9,999,0,-1.8,92.893,-46.2,1.25,5099.1,no
37,352,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,no
38,351,2,999,1,-1.8,92.893,-46.2,1.344,5099.1,no
27,211,11,999,0,1.4,93.918,-42.7,4.962,5228.1,no
33,61,3,999,0,1.4,94.465,-41.8,4.959,5228.1,no
49,172,1,6,2,-1.8,93.369,-34.8,0.652,5008.7,yes
35,794,1,999,0,1.4,93.918,-42.7,4.963,5228.1,yes
26,190,1,999,0,-1.8,93.075,-47.1,1.466,5099.1,no
50,372,1,6,2,-1.7,94.027,-38.3,0.904,4991.6,yes
59,123,1,999,0,1.1,93.994,-36.4,4.858,5191,no
28,239,3,999,0,1.1,93.994,-36.4,4.859,5191,no
34,414,2,999,0,1.4,93.444,-36.1,4.968,5228.1,no
28,68,5,999,0,1.1,93.994,-36.4,4.857,5191,no
47,196,1,999,0,1.1,93.994,-36.4,4.857,5191,no
21,136,2,999,1,-1.8,93.369,-34.8,0.655,5008.7,yes
33,501,1,999,0,1.4,93.444,-36.1,4.963,5228.1,no
26,216,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,yes
38,314,2,999,0,1.1,93.994,-36.4,4.857,5191,no
45,455,3,999,0,1.1,93.994,-36.4,4.859,5191,no
46,716,2,999,0,1.1,93.994,-36.4,4.857,5191,no
37,70,9,999,0,1.4,93.918,-42.7,4.961,5228.1,no
77,381,1,999,0,-3.4,92.649,-30.1,0.714,5017.5,yes
34,248,2,999,0,1.1,93.994,-36.4,4.856,5191,no
31,27,3,999,0,1.4,94.465,-41.8,4.96,5228.1,no
33,305,10,999,0,1.4,93.918,-42.7,4.957,5228.1,no
33,192,1,999,1,-1.8,93.876,-40,0.677,5008.7,yes
34,177,2,999,0,-1.8,93.075,-47.1,1.365,5099.1,yes
41,351,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,no
33,414,1,9,3,-1.1,94.199,-37.5,0.879,4963.6,yes
45,791,5,999,0,1.4,93.918,-42.7,4.961,5228.1,yes
52,976,1,999,0,1.4,93.444,-36.1,4.968,5228.1,yes
56,308,2,999,0,-2.9,92.469,-33.6,1.059,5076.2,yes
28,113,1,999,0,-1.8,92.893,-46.2,1.244,5099.1,no
29,255,1,3,2,-1.1,94.199,-37.5,0.878,4963.6,yes
25,219,1,999,0,-1.8,92.893,-46.2,1.334,5099.1,no
52,942,1,999,0,-1.7,94.215,-40.3,0.884,4991.6,yes
41,216,2,999,0,1.4,94.465,-41.8,4.959,5228.1,no
29,89,1,999,0,1.4,93.918,-42.7,4.96,5228.1,no
34,110,2,999,0,1.4,93.444,-36.1,4.966,5228.1,no
60,365,1,3,1,-3.4,92.379,-29.8,0.809,5017.5,yes
65,288,3,999,0,-1.8,93.369,-34.8,0.636,5008.7,yes
30,637,1,999,0,-1.8,92.893,-46.2,1.25,5099.1,yes
29,391,2,999,0,1.4,93.444,-36.1,4.964,5228.1,no
40,132,1,999,0,1.1,93.994,-36.4,4.855,5191,no
43,131,4,999,1,-2.9,92.963,-40.8,1.281,5076.2,yes
29,257,2,999,1,-3.4,92.649,-30.1,0.719,5017.5,no
39,71,1,999,1,-0.1,93.2,-42,4.191,5195.8,no
64,671,3,999,0,-1.8,93.876,-40,0.697,5008.7,yes
52,114,12,999,0,1.4,93.918,-42.7,4.962,5228.1,no
45,1293,4,999,0,1.4,93.444,-36.1,4.963,5228.1,yes
42,100,2,999,0,1.4,94.465,-41.8,4.967,5228.1,no
52,184,2,10,1,-1.8,93.749,-34.6,0.654,5008.7,yes
48,294,1,999,1,-3.4,92.431,-26.9,0.74,5017.5,yes
52,79,2,999,0,1.4,93.444,-36.1,4.964,5228.1,no
35,193,1,999,0,1.4,94.465,-41.8,4.961,5228.1,no
38,323,1,999,0,-1.8,92.893,-46.2,1.299,5099.1,no
32,583,1,5,1,-1.8,93.075,-47.1,1.41,5099.1,yes
41,68,2,4,1,-0.1,93.2,-42,4.153,5195.8,no
30,985,11,999,0,1.4,93.918,-42.7,4.96,5228.1,yes
28,233,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,no
60,557,2,999,0,1.1,93.994,-36.4,4.857,5191,no
24,726,3,999,0,-3,92.713,-33,0.712,5023.5,yes
41,1204,1,999,0,1.4,93.918,-42.7,4.962,5228.1,yes
35,820,1,999,0,-0.1,93.2,-42,4.12,5195.8,yes
32,218,1,999,0,1.4,93.444,-36.1,4.965,5228.1,no
31,774,1,999,0,1.1,93.994,-36.4,4.856,5191,no
48,125,2,999,0,1.1,93.994,-36.4,4.857,5191,no
31,704,1,999,1,-1.8,92.893,-46.2,1.313,5099.1,yes
41,52,8,999,0,1.4,94.465,-41.8,4.866,5228.1,no
34,316,3,999,0,-0.1,93.2,-42,4.021,5195.8,yes
42,615,1,999,0,-0.1,93.798,-40.4,4.76,5195.8,yes
52,27,10,999,0,1.1,93.994,-36.4,4.858,5191,no
55,1341,7,999,0,1.4,93.918,-42.7,4.963,5228.1,yes
44,180,1,999,0,-1.8,92.893,-46.2,1.344,5099.1,no
44,869,1,999,0,1.4,93.918,-42.7,4.962,5228.1,yes
24,389,1,7,2,-1.8,93.876,-40,0.672,5008.7,yes
54,487,3,999,2,-1.1,94.601,-49.5,1.016,4963.6,yes
35,1175,2,999,0,1.4,93.918,-42.7,4.958,5228.1,yes
29,166,9,999,0,1.1,93.994,-36.4,4.857,5191,no
50,742,1,999,0,-1.1,94.767,-50.8,1.05,4963.6,yes
27,279,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,no
26,204,2,999,1,-2.9,92.201,-31.4,0.884,5076.2,no
37,902,2,999,0,1.4,93.444,-36.1,4.967,5228.1,yes
30,848,1,999,1,-1.8,92.893,-46.2,1.334,5099.1,yes
45,121,2,999,0,1.4,93.918,-42.7,4.963,5228.1,no
42,193,2,999,0,1.4,93.444,-36.1,4.966,5228.1,no
31,265,1,4,3,-2.9,92.201,-31.4,0.883,5076.2,yes
36,490,3,999,2,-1.8,93.075,-47.1,1.435,5099.1,yes
30,226,2,3,2,-1.8,93.876,-40,0.682,5008.7,yes
46,146,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,no
29,437,3,999,0,-1.8,92.893,-46.2,1.25,5099.1,yes
40,201,1,999,0,-1.8,93.075,-47.1,1.445,5099.1,no
39,143,1,999,0,1.1,93.994,-36.4,4.856,5191,no
40,209,1,999,0,1.4,93.918,-42.7,4.96,5228.1,no
52,160,6,999,0,1.4,93.918,-42.7,4.958,5228.1,no
24,1176,3,3,2,-1.1,94.601,-49.5,0.993,4963.6,yes
40,509,1,2,1,-1.8,93.075,-47.1,1.365,5099.1,yes
57,543,2,999,0,1.1,93.994,-36.4,4.857,5191,yes
24,342,2,999,0,-2.9,92.469,-33.6,1.072,5076.2,yes
39,101,1,999,0,-1.8,92.893,-46.2,1.281,5099.1,no
29,120,1,999,0,1.4,93.444,-36.1,4.963,5228.1,no
32,350,1,999,0,1.1,93.994,-36.4,4.858,5191,no
54,139,2,999,0,-1.8,92.893,-46.2,1.25,5099.1,no
34,142,1,999,0,-1.8,93.075,-47.1,1.423,5099.1,yes
26,180,2,999,0,-2.9,92.469,-33.6,1.044,5076.2,yes
32,121,4,999,0,1.4,94.465,-41.8,4.967,5228.1,no
50,475,6,999,1,-1.8,93.075,-47.1,1.466,5099.1,yes
41,140,1,999,0,-1.8,92.893,-46.2,1.313,5099.1,no
42,607,3,999,0,1.4,93.444,-36.1,4.968,5228.1,yes
65,190,1,3,3,-1.1,94.601,-49.5,0.985,4963.6,yes
31,185,6,999,0,1.1,93.994,-36.4,4.857,5191,no
71,193,2,999,0,-3.4,92.649,-30.1,0.715,5017.5,yes
37,113,3,999,0,1.1,93.994,-36.4,4.857,5191,no
26,463,1,999,0,1.4,94.465,-41.8,4.866,5228.1,no
32,823,1,999,0,1.4,93.444,-36.1,4.965,5228.1,yes
35,560,1,999,0,1.4,93.918,-42.7,4.961,5228.1,yes
32,167,2,999,0,-1.8,92.843,-50,1.52,5099.1,no
46,73,6,999,0,1.4,93.444,-36.1,4.968,5228.1,no
30,181,2,999,0,-2.9,92.963,-40.8,1.26,5076.2,yes
31,750,2,999,0,1.4,94.465,-41.8,4.96,5228.1,yes
34,160,1,999,0,-0.1,93.798,-40.4,4.794,5195.8,yes
38,395,2,999,0,1.1,93.994,-36.4,4.856,5191,yes
34,109,1,999,0,1.4,93.444,-36.1,4.963,5228.1,no
55,924,1,999,0,1.1,93.994,-36.4,4.857,5191,yes
42,500,2,999,0,1.4,94.465,-41.8,4.961,5228.1,yes
37,465,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,yes
25,509,1,999,0,1.4,93.918,-42.7,4.963,5228.1,yes
28,506,2,999,0,-1.8,92.843,-50,1.548,5099.1,yes
30,137,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,yes
32,205,1,999,0,-2.9,92.201,-31.4,0.884,5076.2,no
55,949,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,yes
37,137,1,999,1,-1.1,94.767,-50.8,1.05,4963.6,no
58,81,1,999,0,1.4,93.918,-42.7,4.961,5228.1,no
29,255,5,999,0,1.1,93.994,-36.4,4.856,5191,no
51,830,1,999,1,-1.8,92.893,-46.2,1.25,5099.1,yes
58,1307,1,999,0,-1.8,93.749,-34.6,0.639,5008.7,yes
33,134,1,999,0,1.1,93.994,-36.4,4.857,5191,no
26,38,1,999,1,-1.8,92.893,-46.2,1.281,5099.1,no
35,75,6,999,0,1.4,93.444,-36.1,4.964,5228.1,no
28,254,5,999,0,-3.4,92.649,-30.1,0.715,5017.5,yes
50,57,1,999,0,-1.1,94.199,-37.5,0.877,4963.6,no
34,344,1,999,2,-1.7,94.215,-40.3,0.81,4991.6,yes
55,260,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,yes
29,73,9,999,0,1.4,93.444,-36.1,4.964,5228.1,no
37,227,2,999,0,-2.9,92.469,-33.6,1.048,5076.2,yes
29,583,4,999,0,1.4,94.465,-41.8,4.959,5228.1,yes
42,96,5,999,0,1.1,93.994,-36.4,4.857,5191,no
28,119,4,999,1,-1.8,92.893,-46.2,1.25,5099.1,no
49,283,3,3,1,-3.4,92.379,-29.8,0.773,5017.5,yes
52,809,1,999,0,1.4,93.444,-36.1,4.966,5228.1,yes
38,712,2,999,0,-2.9,92.201,-31.4,0.843,5076.2,yes
48,268,1,999,0,-1.7,94.215,-40.3,0.899,4991.6,yes
44,533,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,yes
55,372,3,999,0,1.4,93.444,-36.1,4.965,5228.1,yes
38,415,1,999,2,-3,92.713,-33,0.721,5023.5,yes
34,1038,1,999,0,1.4,93.444,-36.1,4.965,5228.1,yes
37,1363,7,999,0,1.4,94.465,-41.8,4.864,5228.1,yes
44,260,1,999,0,1.4,93.444,-36.1,4.965,5228.1,no
47,135,1,999,0,-0.1,93.2,-42,4.191,5195.8,no
36,659,1,999,0,-1.8,92.893,-46.2,1.25,5099.1,yes
25,712,2,19,1,-1.1,94.767,-50.8,1.04,4963.6,yes
30,1109,11,999,0,1.4,93.444,-36.1,4.962,5228.1,yes
33,731,3,999,1,-1.8,92.893,-46.2,1.291,5099.1,yes
60,576,1,999,0,-2.9,92.201,-31.4,0.879,5076.2,yes
31,207,1,999,0,-2.9,92.963,-40.8,1.268,5076.2,yes
31,55,2,999,0,-2.9,92.963,-40.8,1.266,5076.2,no
32,217,1,999,0,-3.4,92.431,-26.9,0.739,5017.5,no
36,458,1,4,4,-1.7,94.055,-39.8,0.72,4991.6,yes
28,193,2,999,0,-1.8,92.893,-46.2,1.291,5099.1,no
29,213,1,999,0,1.1,93.994,-36.4,4.859,5191,no
30,623,1,10,1,-1.8,92.893,-46.2,1.327,5099.1,yes
31,94,2,999,0,1.4,93.918,-42.7,4.962,5228.1,no
27,1309,4,999,0,1.4,93.918,-42.7,4.963,5228.1,yes
49,498,1,999,0,1.4,94.465,-41.8,4.865,5228.1,no
39,480,4,999,0,1.1,93.994,-36.4,4.856,5191,no
32,72,1,999,0,1.4,93.918,-42.7,4.962,5228.1,no
39,81,1,999,0,1.4,93.918,-42.7,4.963,5228.1,no
41,229,2,999,0,-1.8,92.843,-50,1.531,5099.1,yes
46,383,1,999,0,-1.1,94.767,-50.8,1.028,4963.6,no
48,604,1,999,0,1.1,93.994,-36.4,4.855,5191,no
83,242,1,3,3,-3.4,92.649,-30.1,0.716,5017.5,yes
71,349,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,yes
80,232,1,12,1,-1.8,93.749,-34.6,0.644,5008.7,yes
72,406,1,999,1,-3.4,92.649,-30.1,0.715,5017.5,yes
44,473,2,999,1,-1.8,93.749,-34.6,0.646,5008.7,yes
40,1449,6,999,0,1.4,94.465,-41.8,4.864,5228.1,yes
41,22,2,999,0,1.1,93.994,-36.4,4.857,5191,no
56,680,2,999,1,-0.1,93.2,-42,4.12,5195.8,yes
82,279,3,3,2,-1.1,94.199,-37.5,0.877,4963.6,yes
25,354,1,999,0,1.4,93.918,-42.7,4.96,5228.1,no
35,169,1,999,0,-1.8,92.893,-46.2,1.244,5099.1,no
42,1036,1,999,0,1.4,94.465,-41.8,4.865,5228.1,yes
51,120,2,999,1,-0.1,93.2,-42,4.12,5195.8,no
49,239,4,999,0,-2.9,92.963,-40.8,1.286,5076.2,yes
36,314,2,999,0,1.4,93.444,-36.1,4.964,5228.1,no
22,154,2,999,1,-3.4,92.431,-26.9,0.739,5017.5,yes
46,160,3,999,0,1.1,93.994,-36.4,4.857,5191,no
30,214,1,999,0,-1.8,93.075,-47.1,1.435,5099.1,yes
46,109,1,999,0,-2.9,92.201,-31.4,0.861,5076.2,no
54,558,1,999,0,-0.1,93.2,-42,4.021,5195.8,yes
35,129,2,999,0,1.1,93.994,-36.4,4.859,5191,no
52,32,1,999,0,-1.7,94.055,-39.8,0.707,4991.6,no
37,130,2,999,0,1.4,93.918,-42.7,4.963,5228.1,no
88,126,1,999,0,-1.8,92.843,-50,1.663,5099.1,yes
37,191,5,999,0,1.4,93.444,-36.1,4.966,5228.1,no
28,352,2,999,0,1.1,93.994,-36.4,4.855,5191,no
66,476,1,999,0,-1.8,93.749,-34.6,0.642,5008.7,yes
48,90,3,999,0,1.4,93.444,-36.1,4.968,5228.1,no
30,1288,3,999,0,1.4,93.444,-36.1,4.968,5228.1,yes
32,1119,1,999,0,1.1,93.994,-36.4,4.855,5191,yes
47,98,4,999,0,1.4,94.465,-41.8,4.865,5228.1,no
25,417,1,999,0,-2.9,92.963,-40.8,1.262,5076.2,yes
40,117,2,999,0,1.1,93.994,-36.4,4.857,5191,no
32,454,1,999,0,-0.1,93.2,-42,4.076,5195.8,yes
46,75,1,999,0,-0.1,93.2,-42,4.021,5195.8,no
41,595,1,999,0,-3,92.713,-33,0.715,5023.5,yes
55,988,1,999,0,1.4,93.918,-42.7,4.957,5228.1,yes
41,234,1,999,0,1.1,93.994,-36.4,4.86,5191,no
27,185,1,999,0,1.1,93.994,-36.4,4.857,5191,no
29,62,4,999,0,1.1,93.994,-36.4,4.857,5191,no
37,447,3,999,0,-3.4,92.431,-26.9,0.754,5017.5,yes
40,217,1,999,1,-1.8,92.893,-46.2,1.313,5099.1,no
39,171,3,999,0,1.4,93.918,-42.7,4.962,5228.1,no
42,478,1,999,0,-0.1,93.798,-40.4,5.045,5195.8,yes
53,1241,7,999,0,1.4,93.444,-36.1,4.964,5228.1,yes
37,180,6,999,0,1.4,93.444,-36.1,4.962,5228.1,no
46,486,1,999,0,-0.1,93.2,-42,4.076,5195.8,no
35,246,3,999,0,1.4,94.465,-41.8,4.967,5228.1,no
58,89,2,999,0,-2.9,92.201,-31.4,0.883,5076.2,yes
25,151,2,999,0,1.4,93.918,-42.7,4.962,5228.1,no
33,147,1,999,0,1.4,93.444,-36.1,4.962,5228.1,no
38,49,1,999,0,-0.1,93.2,-42,3.901,5195.8,no
49,57,2,999,0,1.4,94.465,-41.8,4.866,5228.1,no
69,109,2,3,1,-3.4,92.379,-29.8,0.77,5017.5,no
66,201,1,3,2,-1.8,93.369,-34.8,0.635,5008.7,yes
41,193,1,999,0,-1.8,92.893,-46.2,1.281,5099.1,no
